postedDate,eventDate,voidedDate,event,basis,action,entryNumber,portOfEntry,entryDate,entryType,teamNumber
,,,Liquidated,,Change Increase,SQ310073003,5301,,47,6D0
,,,Extended,Customs Extension,,SQ310074316,5301,,47,6D0
,,,Extended,Customs Extension,,BER90178227,5301,,47,6D0
,,,Extended,Customs Extension,,94324094229,5301,,47,6D0
,,,Extended,Customs Extension,,BER90178219,5301,,47,6D0
,,,Extended,Customs Extension,,AA603406395,5301,,47,6D0
,,,Extended,Customs Extension,,SQ310089207,5301,,47,6D0
,,,Extended,Customs Extension,,9S300000483,5301,,47,6D0
,,,Extended,Customs Extension,,JF901324372,5301,,47,6D0
,,,Extended,Customs Extension,,JF901324091,5301,,47,6D0
,,,Extended,Customs Extension,,AA603411221,5301,,47,6D0
,,,Extended,Customs Extension,,AA603411098,5301,,47,6D0
,,,Extended,Customs Extension,,BER90178144,5301,,47,6D0
,,,Extended,Customs Extension,,BER90178342,5301,,47,6D0
,,,Extended,Customs Extension,,96802006732,5301,,47,6D0
,,,Extended,Customs Extension,,D9713098637,5301,,47,6D0
,,,Extended,Customs Extension,,D9713083381,5301,,47,6D0
,,,Extended,Customs Extension,,NP810004861,5301,,47,6D0
,,,Extended,Customs Extension,,NP810004853,5301,,47,6D0
,,,Extended,Customs Extension,,NP810004846,5301,,47,6D0
,,,Extended,Customs Extension,,NP810004838,5301,,47,6D0
,,,Extended,Customs Extension,,NP810004820,5301,,47,6D0
,,,Extended,Customs Extension,,NP810004812,5301,,47,6D0
,,,Extended,Customs Extension,,NP810004804,5301,,47,6D0
,,,Extended,Customs Extension,,NP810004564,5301,,47,6D0
,,,Extended,Customs Extension,,8RM00000959,5301,,47,6D0
,,,Extended,Customs Extension,,BER90178292,5301,,47,6D0
,,,Extended,Customs Extension,,8RM00000934,5301,,47,6D0
,,,Extended,Customs Extension,,96801907591,5301,,47,6D0
,,,Extended,Customs Extension,,71602100787,5301,,47,6D0
,,,Extended,Customs Extension,,71602100456,5301,,47,6D0
,,,Extended,Customs Extension,,71602100381,5301,,47,6D0
,,,Extended,Customs Extension,,71602002405,5301,,47,6D0
,,,Extended,Customs Extension,,71602002397,5301,,47,6D0
,,,Extended,Customs Extension,,71602002389,5301,,47,6D0
,,,Extended,Customs Extension,,71602002371,5301,,47,6D0
,,,Extended,Customs Extension,,71601903835,5301,,47,6D0
,,,Extended,Customs Extension,,71601903827,5301,,47,6D0
